year,births,deaths,immigration,census population,natural growth and immigration population,offset
2010,63897,28395,-277,4373890,4367275,6615
2011,61401,30087,-16144,4399470,4382445,17025
2012,61176,30081,-10408,4425820,4403132,22688
2013,58716,29574,17291,4477350,4449565,27785
2014,57243,31056,47413,4564350,4523165,41185
2015,61038,31593,59809,4663720,4612419,51301
2016,59427,31212,62889,4767640,4703523,64117
2017,59610,33366,53280,4859500,4783047,76453
2018,58020,33219,49567,4941200,4857415,83785
2019,59637,34233,72588,5040460,4955407,85053
2020,57576,32613,36844,5103710,5017214,86496
2021,58659,34908,-14950,5116480,5026015,90465
2022,58887,38595,24832,5160530,5071139,89391
2023,56955,37878,125959,5305550,5216175,89375
