year,age_group,count_monthly,count_yearly
2010,Under 65,6336,6177
2010,65+,22290,22218
2011,Under 65,6411,6312
2011,65+,23832,23775
2012,Under 65,6174,6084
2012,65+,24072,23997
2013,Under 65,6120,6066
2013,65+,23574,23508
2014,Under 65,6228,6138
2014,65+,24993,24918
2015,Under 65,6162,6084
2015,65+,25602,25509
2016,Under 65,6276,6204
2016,65+,25065,25008
2017,Under 65,6585,6480
2017,65+,26952,26886
2018,Under 65,6660,6537
2018,65+,26790,26682
2019,Under 65,6813,6717
2019,65+,27627,27516
2020,Under 65,6384,6363
2020,65+,26304,26250
2021,Under 65,6651,6621
2021,65+,28323,28287
2022,Under 65,7017,7002
2022,65+,31635,31593
