year_month,OIA Total,Ref. Total
2019-7,109,42
2019-8,70,36
2019-9,93,33
2019-10,76,60
2019-11,74,39
2019-12,105,45
2020-1,75,30
2020-2,78,42
2020-3,82,42
2020-4,74,36
2020-5,86,24
2020-6,90,54
2020-7,89,33
2020-8,87,33
2020-9,88,48
2020-10,82,39
2020-11,68,30
2020-12,93,39
2021-1,88,48
2021-2,86,39
2021-3,82,36
2021-4,93,27
2021-5,84,51
2021-6,96,51
2021-7,97,45
2021-8,99,48
2021-9,110,51
2021-10,99,36
2021-11,77,36
2021-12,83,39
2022-1,71,48
2022-2,77,33
2022-3,58,24
2022-4,74,27
2022-5,94,42
2022-6,78,45
2022-7,79,27
2022-8,73,45
2022-9,77,24
2022-10,63,27
2022-11,74,39
2022-12,75,36
2023-1,45,57
2023-2,23,24
2023-3,29,36
2023-4,23,24
2023-5,25,36
2023-6,26,48
2023-7,17,33
2023-8,22,36
2023-9,21,30
